#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
Swap_1,2016-02-05,0.000000,0,1744677,0,0,0,0,0
Swap_1,2016-02-19,0.038251,26739,1771996,-1326761,418496,6297,26738,26738
Swap_1,2016-03-04,0.076503,97791,1844022,-1075268,670963,784976,97779,97779
Swap_1,2016-03-18,0.114754,225024,1715154,-819796,670334,1649604,224976,224976
Swap_1,2016-04-01,0.153005,310187,1803649,-745260,748202,1881544,310092,310092
Swap_1,2016-04-15,0.191257,381906,1879087,-602487,894693,2299094,381752,381752
Swap_1,2016-04-29,0.229508,462319,1965641,-476913,1026408,2779731,462080,462080
Swap_1,2016-05-13,0.267760,501471,2008100,-458027,1048602,2874524,501155,501155
Swap_1,2016-05-27,0.306011,557694,2060507,-400816,1101998,3201215,557282,557282
Swap_1,2016-06-10,0.344262,624766,2115890,-301584,1189540,3372408,624237,624237
Swap_1,2016-06-24,0.382514,685072,2174603,-243437,1246094,3755882,684396,684396
Swap_1,2016-07-08,0.420765,735626,2225668,-215792,1274251,4040221,734797,734797
Swap_1,2016-07-22,0.459016,783916,2288270,-164829,1339525,4115139,782960,782960
Swap_1,2016-08-05,0.497268,833150,2342349,-84701,1424498,4293207,832071,832071
Swap_1,2016-08-19,0.535519,877884,2383064,-86884,1418295,4689301,876633,876633
Swap_1,2016-09-02,0.573770,925275,2417110,-21169,1470666,4882327,923806,923806
Swap_1,2016-09-16,0.612022,1048658,2304771,113120,1369234,5436874,1046837,1046837
Swap_1,2016-09-30,0.650273,1090699,2354157,249270,1512728,5416276,1088679,1088679
Swap_1,2016-10-14,0.688525,1132339,2392724,251102,1511487,5858160,1130093,1130093
Swap_1,2016-10-28,0.726776,1160491,2426853,311507,1577869,5933835,1157965,1157965
Swap_1,2016-11-14,0.773224,1198106,2467168,329601,1598662,6062269,1195237,1195237
Swap_1,2016-11-25,0.803279,1234068,2491802,339893,1597627,6515820,1230979,1230979
Swap_1,2016-12-09,0.841530,1263200,2539726,361148,1637673,6434001,1259864,1259864
Swap_1,2016-12-23,0.879781,1289174,2562603,376813,1650242,6455883,1285596,1285596
Swap_1,2017-01-06,0.918070,1326244,2604596,490923,1769274,6638920,1322388,1322388
Swap_1,2017-01-20,0.956426,1359488,2641538,495002,1777053,6522490,1355368,1355368
Swap_1,2017-02-03,0.994783,1411543,2695197,545754,1829409,6561645,1407099,1407099
Swap_1,2017-02-17,1.033139,1454718,2741302,553793,1840376,6846201,1449938,1449938
Swap_1,2017-03-03,1.071495,1507518,2789994,563543,1846019,7142085,1502326,1502326
Swap_1,2017-03-17,1.109851,1549724,2613568,592963,1656808,7222259,1544142,1544142
Swap_1,2017-03-31,1.148207,1585587,2652104,609388,1675905,7435321,1579625,1579625
Swap_1,2017-04-18,1.197522,1620295,2689887,653174,1722765,7652064,1613875,1613875
Swap_1,2017-04-28,1.224920,1639916,2704064,681016,1745165,7617874,1633232,1633232
Swap_1,2017-05-12,1.263276,1681114,2747181,736832,1802899,7797855,1674004,1674004
Swap_1,2017-05-26,1.301632,1700406,2755524,750962,1806081,7942024,1692992,1692992
Swap_1,2017-06-09,1.339988,1735508,2784861,745661,1795013,8170930,1727714,1727714
Swap_1,2017-06-23,1.378344,1767120,2823888,851392,1908160,8197018,1758952,1758952
Swap_1,2017-07-07,1.416700,1801502,2858379,871966,1928843,8847338,1792940,1792940
Swap_1,2017-07-21,1.455057,1815160,2880488,857909,1923237,8501558,1806296,1806296
Swap_1,2017-08-04,1.493413,1841545,2919142,923371,2000968,8492152,1832311,1832311
Swap_1,2017-08-18,1.531769,1885189,2961467,953083,2029361,9003497,1875482,1875482
Swap_1,2017-09-01,1.570125,1894622,2979724,961918,2047019,8987562,1884608,1884608
Swap_1,2017-09-15,1.608481,1923282,2759958,1046709,1883384,8687230,1912853,1912853
Swap_1,2017-09-29,1.646837,1956765,2796153,1084385,1923774,8635223,1945886,1945886
Swap_1,2017-10-13,1.685194,1974306,2811971,1081424,1919089,8659809,1963059,1963059
Swap_1,2017-10-27,1.723550,2002815,2839250,1091555,1927991,8986277,1991132,1991132
Swap_1,2017-11-13,1.770125,2043519,2853713,1089356,1899550,9055879,2031248,2031248
Swap_1,2017-11-24,1.800262,2038961,2867141,1083506,1911687,9468304,2026454,2031248
Swap_1,2017-12-08,1.838618,2066157,2897582,1123351,1954775,9340735,2053145,2053145
Swap_1,2017-12-22,1.876974,2082553,2919110,1125256,1961813,9362702,2069097,2069097
Swap_1,2018-01-05,1.915330,2121315,2959232,1193921,2031838,9590873,2107260,2107260
Swap_1,2018-01-19,1.953687,2134320,2978365,1184164,2028208,9977363,2119830,2119830
Swap_1,2018-02-02,1.992043,2147104,2984811,1223242,2060949,9922207,2132175,2132175
Swap_1,2018-02-16,2.030399,2165199,2993931,1200565,2029297,10038592,2149835,2149835
Swap_1,2018-03-02,2.068755,2195081,3014779,1231148,2050846,9859067,2179306,2179306
Swap_1,2018-03-16,2.107111,2179234,2760792,1199220,1780777,9634611,2163376,2179306
Swap_1,2018-04-03,2.156426,2192146,2769837,1215673,1793365,10069406,2175938,2179306
Swap_1,2018-04-13,2.183824,2208300,2788991,1219792,1800483,9918818,2191829,2191829
Swap_1,2018-04-27,2.222180,2223667,2808340,1273325,1857998,10152338,2206880,2206880
Swap_1,2018-05-11,2.260536,2219528,2809647,1225581,1815700,9793105,2202571,2206880
Swap_1,2018-05-25,2.298892,2246005,2834856,1203768,1792619,10165635,2228642,2228642
Swap_1,2018-06-08,2.337248,2267261,2850720,1267472,1850931,10309656,2249528,2249528
Swap_1,2018-06-22,2.375604,2277221,2853836,1275907,1852521,10018700,2259205,2259205
Swap_1,2018-07-06,2.413961,2310244,2888870,1295661,1874287,10132709,2291757,2291757
Swap_1,2018-07-20,2.452317,2334856,2911164,1324235,1900543,10431950,2315960,2315960
Swap_1,2018-08-03,2.490673,2355610,2936191,1379844,1960426,10607618,2336333,2336333
Swap_1,2018-08-17,2.529029,2374898,2946895,1407259,1979255,10611803,2355248,2355248
Swap_1,2018-08-31,2.567385,2387030,2963702,1428709,2005382,10937594,2367063,2367063
Swap_1,2018-09-14,2.605741,2362399,2728194,1347876,1713671,10370793,2342424,2367063
Swap_1,2018-09-28,2.644098,2367750,2735901,1354057,1722208,10772271,2347516,2367063
Swap_1,2018-10-12,2.682454,2371690,2739268,1326102,1693679,10506254,2351207,2367063
Swap_1,2018-10-26,2.720810,2383588,2745281,1351339,1713032,10349792,2362787,2367063
Swap_1,2018-11-09,2.759166,2404640,2770397,1372023,1737780,10766849,2383438,2383438
Swap_1,2018-11-23,2.797522,2416007,2781620,1395618,1761231,10941134,2394486,2394486
Swap_1,2018-12-07,2.835878,2435463,2792991,1410302,1767830,10688694,2413548,2413548
Swap_1,2018-12-21,2.874235,2441268,2808825,1425726,1793283,10652566,2419079,2419079
Swap_1,2019-01-04,2.912591,2472101,2833392,1446160,1807451,10778339,2449409,2449409
Swap_1,2019-01-18,2.950947,2494915,2851895,1459241,1816222,10872225,2471787,2471787
Swap_1,2019-02-01,2.989303,2506482,2854888,1596117,1944523,10811907,2483021,2483021
Swap_1,2019-02-15,3.027659,2505802,2856343,1563598,1914140,10828844,2482155,2483021
Swap_1,2019-03-01,3.066015,2537510,2903981,1564597,1931068,10944129,2513502,2513502
Swap_1,2019-03-15,3.104372,2484726,2653290,1500464,1669027,10474989,2461157,2513502
Swap_1,2019-03-29,3.142728,2491052,2652691,1480658,1642297,10457725,2467362,2513502
Swap_1,2019-04-12,3.181084,2497078,2650610,1511348,1664880,10409139,2473269,2513502
Swap_1,2019-04-26,3.219440,2499694,2666656,1520847,1687809,10500990,2475800,2513502
Swap_1,2019-05-10,3.257796,2518379,2689987,1550875,1722482,10499137,2494245,2513502
Swap_1,2019-05-24,3.296152,2517132,2697586,1516162,1696617,10980690,2492948,2513502
Swap_1,2019-06-07,3.334509,2521947,2708628,1552443,1739124,10853228,2497655,2513502
Swap_1,2019-06-21,3.372865,2530043,2717019,1525357,1712333,10852666,2505611,2513502
Swap_1,2019-07-05,3.411221,2546871,2729608,1568163,1750900,11217260,2522214,2522214
Swap_1,2019-07-19,3.449577,2568320,2743936,1553334,1728950,11111237,2543392,2543392
Swap_1,2019-08-02,3.487933,2580341,2759399,1620223,1799281,11314745,2555233,2555233
Swap_1,2019-08-16,3.526289,2601898,2781867,1618170,1798139,11358016,2576517,2576517
Swap_1,2019-08-30,3.564646,2619627,2799922,1690660,1870955,11409069,2594010,2594010
Swap_1,2019-09-13,3.603002,2531555,2546225,1585163,1599833,10795496,2506737,2594010
Swap_1,2019-09-27,3.641358,2546686,2547317,1636800,1637431,10533401,2521657,2594010
Swap_1,2019-10-11,3.679714,2539933,2544624,1604853,1609544,10541842,2514909,2594010
Swap_1,2019-10-25,3.718070,2549296,2557975,1667500,1676180,10801568,2524117,2594010
Swap_1,2019-11-08,3.756426,2558276,2568537,1673096,1683357,10567591,2532946,2594010
Swap_1,2019-11-22,3.794783,2585575,2594072,1673606,1682104,10647681,2559911,2594010
Swap_1,2019-12-06,3.833139,2594472,2595479,1682814,1683821,10788744,2568657,2594010
Swap_1,2019-12-20,3.871495,2612693,2608776,1695583,1691667,10756209,2586632,2594010
Swap_1,2020-01-03,3.909836,2638481,2617932,1748405,1727857,11345426,2612098,2612098
Swap_1,2020-01-17,3.948087,2642871,2621385,1734318,1712832,11375506,2616380,2616380
Swap_1,2020-01-31,3.986339,2654022,2644960,1733037,1723975,11034116,2627354,2627354
Swap_1,2020-02-14,4.024590,2667215,2662201,1757910,1752896,11034954,2640390,2640390
Swap_1,2020-02-28,4.062842,2681690,2676313,1787968,1782591,11135828,2654845,2654845
Swap_1,2020-03-13,4.101093,2576672,2422307,1682073,1527708,10450968,2550997,2654845
Swap_1,2020-03-27,4.139344,2590868,2439648,1740062,1588842,10317914,2565172,2654845
Swap_1,2020-04-14,4.188525,2599699,2443191,1783827,1627319,10917321,2574071,2654845
Swap_1,2020-04-24,4.215847,2598166,2447279,1826240,1675353,11096757,2572639,2654845
Swap_1,2020-05-11,4.262295,2621075,2442382,1831309,1652615,11034540,2595472,2654845
Swap_1,2020-05-22,4.292350,2626181,2467562,1778087,1619469,11153560,2600623,2654845
Swap_1,2020-06-05,4.330601,2625401,2476676,1763295,1614570,11243270,2599973,2654845
Swap_1,2020-06-19,4.368852,2622152,2479655,1787392,1644895,11025165,2596877,2654845
Swap_1,2020-07-06,4.415301,2642533,2497050,1782606,1637123,11165382,2617212,2654845
Swap_1,2020-07-17,4.445355,2647215,2508135,1774674,1635595,11238550,2621945,2654845
Swap_1,2020-07-31,4.483607,2662777,2523247,1844510,1704981,11309098,2637482,2654845
Swap_1,2020-08-14,4.521858,2668673,2528868,1810810,1671005,11155891,2643446,2654845
Swap_1,2020-08-28,4.560109,2681101,2541439,1822389,1682728,11076853,2655881,2655881
Swap_1,2020-09-11,4.598361,2556285,2286975,1688265,1418956,10482026,2532359,2655881
Swap_1,2020-09-25,4.636612,2557631,2290580,1683741,1416690,10564793,2533811,2655881
Swap_1,2020-10-09,4.674863,2563061,2305911,1706447,1449297,10446969,2539309,2655881
Swap_1,2020-10-23,4.713115,2562094,2298368,1730294,1466568,10644124,2538471,2655881
Swap_1,2020-11-06,4.751366,2569384,2298839,1802740,1532195,10549387,2545813,2655881
Swap_1,2020-11-20,4.789617,2571017,2306237,1769148,1504367,10945112,2547551,2655881
Swap_1,2020-12-04,4.827869,2587690,2311507,1795622,1519439,11141034,2564192,2655881
Swap_1,2020-12-18,4.866120,2592948,2322462,1829217,1558731,10995376,2569522,2655881
Swap_1,2021-01-04,4.912591,2601275,2332428,1815772,1546925,11099751,2577921,2655881
Swap_1,2021-01-15,4.942728,2606694,2341119,1803336,1537761,11522817,2583387,2655881
Swap_1,2021-01-29,4.981084,2613033,2343839,1849423,1580229,11411968,2589791,2655881
Swap_1,2021-02-12,5.019440,2606438,2333111,1840158,1566831,11362451,2583427,2655881
Swap_1,2021-02-26,5.057796,2631165,2354577,1847483,1570895,10982933,2608420,2655881
Swap_1,2021-03-12,5.096152,2508159,2108340,1678695,1278876,10338777,2486939,2655881
Swap_1,2021-03-26,5.134509,2517460,2118422,1703073,1304034,10431780,2496624,2655881
Swap_1,2021-04-09,5.172865,2526010,2124809,1684419,1283218,10520157,2505568,2655881
Swap_1,2021-04-23,5.211221,2535527,2132924,1728868,1326265,10798311,2515475,2655881
Swap_1,2021-05-07,5.249577,2540682,2142551,1721492,1323361,10886607,2521057,2655881
Swap_1,2021-05-21,5.287933,2552117,2147335,1731036,1326254,10646326,2532873,2655881
Swap_1,2021-06-04,5.326289,2565620,2155413,1740578,1330371,10625836,2546747,2655881
Swap_1,2021-06-18,5.364646,2573727,2160851,1806606,1393729,10486943,2555269,2655881
Swap_1,2021-07-02,5.403002,2582794,2160595,1784994,1362795,10903773,2564746,2655881
