#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
Swap_3,2016-02-05,0.000000,1629089,0,0,0,1629089,1629089,1629089
Swap_3,2016-02-19,0.038251,1627333,1628,1454023,-171681,2796421,1627258,1629089
Swap_3,2016-03-04,0.076503,1657177,28000,1404346,-224831,3322026,1656969,1656969
Swap_3,2016-03-18,0.114754,1696408,65193,1448929,-182286,3756039,1696040,1696040
Swap_3,2016-04-01,0.153005,1739355,106127,1451151,-182077,4027234,1738821,1738821
Swap_3,2016-04-15,0.191257,1775673,141015,1432476,-202182,4274353,1774957,1774957
Swap_3,2016-04-29,0.229508,1694658,219520,1323617,-151520,4401945,1693782,1774957
Swap_3,2016-05-13,0.267760,1739110,260049,1363107,-115954,4532683,1738015,1774957
Swap_3,2016-05-27,0.306011,1784490,302678,1376349,-105463,4916661,1783174,1783174
Swap_3,2016-06-10,0.344262,1824089,337549,1379480,-107060,5113584,1822546,1822546
Swap_3,2016-06-24,0.382514,1855458,369249,1387352,-98857,5381787,1853628,1853628
Swap_3,2016-07-08,0.420765,1888135,401705,1424338,-62092,5368859,1886007,1886007
Swap_3,2016-07-22,0.459016,1814580,456836,1337257,-20486,5396361,1812365,1886007
Swap_3,2016-08-05,0.497268,1840335,482314,1311304,-46717,5631367,1837952,1886007
Swap_3,2016-08-19,0.535519,1874745,518761,1333535,-22448,5814177,1872072,1886007
Swap_3,2016-09-02,0.573770,1901336,541391,1337101,-22844,5988274,1898318,1898318
Swap_3,2016-09-16,0.612022,1937981,571632,1403503,37155,6211366,1934616,1934616
Swap_3,2016-09-30,0.650273,1967517,597561,1359886,-10070,6261107,1963874,1963874
Swap_3,2016-10-14,0.688525,1986703,620949,1396555,30801,6335664,1982762,1982762
Swap_3,2016-10-28,0.726776,1889178,648604,1291947,51374,6243838,1885066,1982762
Swap_3,2016-11-14,0.773224,1928884,686598,1329609,87323,6365324,1924264,1982762
Swap_3,2016-11-25,0.803279,1946776,712933,1336529,102686,6438425,1941902,1982762
Swap_3,2016-12-09,0.841530,1967503,723647,1346310,102455,6536571,1962306,1982762
Swap_3,2016-12-23,0.879781,1996284,748265,1368168,120149,6782778,1990744,1990744
Swap_3,2017-01-06,0.918070,2029375,774093,1336449,81168,6850403,2023474,2023474
Swap_3,2017-01-20,0.956426,2072994,808194,1371181,106381,7401755,2066712,2066712
Swap_3,2017-02-03,0.994783,1981412,832200,1263376,114163,7221984,1975175,2066712
Swap_3,2017-02-17,1.033139,1995037,850470,1274834,130267,7221563,1988481,2066712
Swap_3,2017-03-03,1.071495,2006595,860286,1286179,139870,7508729,1999684,2066712
Swap_3,2017-03-17,1.109851,2035072,889792,1327646,182365,7470245,2027742,2066712
Swap_3,2017-03-31,1.148207,2054551,908285,1347637,201371,7534360,2046826,2066712
Swap_3,2017-04-18,1.197522,2078211,932313,1362420,216522,7570256,2069976,2069976
Swap_3,2017-04-28,1.224920,1976396,957826,1273788,255218,7283361,1968341,2069976
Swap_3,2017-05-12,1.263276,1995490,966330,1258091,228930,7605963,1987050,2069976
Swap_3,2017-05-26,1.301632,2023973,995708,1283000,254735,7979237,2015148,2069976
Swap_3,2017-06-09,1.339988,2025605,1000353,1325380,300127,8161836,2016508,2069976
Swap_3,2017-06-23,1.378344,2070286,1041908,1271356,242979,8008113,2060717,2069976
Swap_3,2017-07-07,1.416700,2088800,1056862,1279780,247842,8123035,2078872,2078872
Swap_3,2017-07-21,1.455057,2101835,1069533,1331515,299213,8242547,2091570,2091570
Swap_3,2017-08-04,1.493413,2018981,1093350,1213993,288363,7810122,2008856,2091570
Swap_3,2017-08-18,1.531769,2031508,1113399,1208940,290831,7954809,2021047,2091570
Swap_3,2017-09-01,1.570125,2044502,1130910,1193749,280157,8074670,2033695,2091570
Swap_3,2017-09-15,1.608481,2065985,1156275,1245091,335380,7991909,2054782,2091570
Swap_3,2017-09-29,1.646837,2086704,1168038,1263184,344517,8059115,2075103,2091570
Swap_3,2017-10-13,1.685194,2115146,1190388,1301288,376530,8236181,2103097,2103097
Swap_3,2017-10-27,1.723550,2013432,1192868,1191409,370846,7873625,2001687,2103097
Swap_3,2017-11-13,1.770125,2025119,1198270,1200061,373211,7678336,2012958,2103097
Swap_3,2017-11-24,1.800262,2032907,1206330,1204778,378201,7718268,2020438,2103097
Swap_3,2017-12-08,1.838618,2049157,1223912,1216226,390981,7897163,2036252,2103097
Swap_3,2017-12-22,1.876974,2071428,1251600,1228003,408176,7901229,2058043,2103097
Swap_3,2018-01-05,1.915330,2068072,1261223,1178237,371388,7876724,2054370,2103097
Swap_3,2018-01-19,1.953687,2090257,1278029,1189071,376843,8144839,2076066,2103097
Swap_3,2018-02-02,1.992043,1982079,1285251,1100726,403897,7599348,1968298,2103097
Swap_3,2018-02-16,2.030399,1996335,1307303,1107588,418556,7992591,1982170,2103097
Swap_3,2018-03-02,2.068755,2005349,1319925,1111050,425626,7765332,1990938,2103097
Swap_3,2018-03-16,2.107111,2017624,1332615,1172348,487340,8045130,2002941,2103097
Swap_3,2018-04-03,2.156426,2033371,1352142,1185970,504741,8233832,2018337,2103097
Swap_3,2018-04-13,2.183824,2041482,1360241,1189102,507861,8168781,2026256,2103097
Swap_3,2018-04-27,2.222180,1939178,1348868,1064287,473978,7807377,1924539,2103097
Swap_3,2018-05-11,2.260536,1938340,1342593,1081957,486210,7687976,1923532,2103097
Swap_3,2018-05-25,2.298892,1947805,1352008,1090548,494752,7792427,1932747,2103097
Swap_3,2018-06-08,2.337248,1963009,1369617,1113224,519832,7850538,1947656,2103097
Swap_3,2018-06-22,2.375604,1975770,1389115,1123307,536653,7767948,1960138,2103097
Swap_3,2018-07-06,2.413961,1992432,1399734,1157667,564969,8062857,1976488,2103097
Swap_3,2018-07-20,2.452317,1997041,1419676,1143456,566091,7914997,1980879,2103097
Swap_3,2018-08-03,2.490673,1888966,1397467,1033868,542369,7805670,1873508,2103097
Swap_3,2018-08-17,2.529029,1917859,1412298,1036465,530904,8100720,1901991,2103097
Swap_3,2018-08-31,2.567385,1921362,1407154,1015639,501431,8042176,1905290,2103097
Swap_3,2018-09-14,2.605741,1932473,1413661,1104820,586008,8009565,1916134,2103097
Swap_3,2018-09-28,2.644098,1942845,1423270,1104439,584864,8199523,1926242,2103097
Swap_3,2018-10-12,2.682454,1955836,1434097,1147358,625618,8396528,1938945,2103097
Swap_3,2018-10-26,2.720810,1848413,1418276,1027395,597257,7995867,1832283,2103097
Swap_3,2018-11-09,2.759166,1858188,1428843,1022536,593191,7930698,1841804,2103097
Swap_3,2018-11-23,2.797522,1867688,1433246,1041877,607436,8078981,1851051,2103097
Swap_3,2018-12-07,2.835878,1874432,1441146,1041020,607734,8109365,1857565,2103097
Swap_3,2018-12-21,2.874235,1890760,1456694,1051241,617174,7977942,1873575,2103097
Swap_3,2019-01-04,2.912591,1905875,1464318,1049039,607482,7967526,1888380,2103097
Swap_3,2019-01-18,2.950947,1977778,1513056,1087307,622585,8527774,1959444,2103097
Swap_3,2019-02-01,2.989303,1819424,1453012,901464,535052,7762731,1802394,2103097
Swap_3,2019-02-15,3.027659,1829142,1468703,906790,546352,8113946,1811881,2103097
Swap_3,2019-03-01,3.066015,1835095,1475196,927105,567206,7982119,1817732,2103097
Swap_3,2019-03-15,3.104372,1843587,1476251,987561,620225,7967625,1826099,2103097
Swap_3,2019-03-29,3.142728,1845022,1477349,1002522,634849,8259286,1827476,2103097
Swap_3,2019-04-12,3.181084,1854108,1486202,1013026,645120,8051903,1836430,2103097
Swap_3,2019-04-26,3.219440,1749903,1450307,913899,614302,7692212,1733176,2103097
Swap_3,2019-05-10,3.257796,1769650,1468241,940063,638653,7577335,1752691,2103097
Swap_3,2019-05-24,3.296152,1778877,1475273,964943,661339,7454424,1761786,2103097
Swap_3,2019-06-07,3.334509,1793120,1486525,962917,656322,7589921,1775848,2103097
Swap_3,2019-06-21,3.372865,1806862,1497994,978431,669563,7495810,1789414,2103097
Swap_3,2019-07-05,3.411221,1814126,1504367,963808,654049,7706569,1796563,2103097
Swap_3,2019-07-19,3.449577,1816347,1510831,1001630,696115,7697184,1798718,2103097
Swap_3,2019-08-02,3.487933,1719291,1466686,856855,604250,7086923,1702562,2103097
Swap_3,2019-08-16,3.526289,1727893,1476410,853046,601564,7137702,1711038,2103097
Swap_3,2019-08-30,3.564646,1735852,1478128,825178,567453,7328320,1718877,2103097
Swap_3,2019-09-13,3.603002,1744130,1489995,877874,623739,7207587,1727031,2103097
Swap_3,2019-09-27,3.641358,1754342,1495449,844069,585176,7276015,1737100,2103097
Swap_3,2019-10-11,3.679714,1762159,1503770,868683,610294,7279540,1744798,2103097
Swap_3,2019-10-25,3.718070,1649709,1452184,766551,569026,6863740,1633415,2103097
Swap_3,2019-11-08,3.756426,1657565,1463539,784288,590261,6838224,1641153,2103097
Swap_3,2019-11-22,3.794783,1661426,1471773,786543,596890,7151961,1644936,2103097
Swap_3,2019-12-06,3.833139,1682814,1483381,811230,611798,7273276,1666069,2103097
Swap_3,2019-12-20,3.871495,1669746,1472234,806707,609194,7165582,1653091,2103097
Swap_3,2020-01-03,3.909836,1674810,1476551,775744,577485,7065376,1658064,2103097
Swap_3,2020-01-17,3.948087,1684426,1486539,773247,575360,7091069,1667542,2103097
Swap_3,2020-01-31,3.986339,1573742,1446020,673078,545357,6793413,1557929,2103097
Swap_3,2020-02-14,4.024590,1578636,1446023,697511,564898,6635417,1562759,2103097
