#TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CPTY_A,51098.98,155002.42,70944.09,-7437.82,81105.76,-8525.54,88054.28,-9272.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51098.98,155002.42,None,242994.74,242994.74
Swap_20,CPTY_A,51098.98,155002.42,70944.09,-7437.82,81105.76,-8525.54,88054.28,-9272.30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,242994.74,242994.74
