#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CPTY_A,2023-01-31,0.000000,2318.59,0.00,2318.59,2318.59,2318.59,2318.59
CPTY_A,2023-02-14,0.038356,18157.30,16167.21,68916.51,0.00,18189.45,18189.45
CPTY_A,2023-02-28,0.076712,22169.00,23900.16,61412.02,0.00,22247.74,22247.74
CPTY_A,2023-03-14,0.115068,27271.33,28729.73,81343.49,0.00,27417.54,27417.54
CPTY_A,2023-03-28,0.153425,23561.86,32427.87,60915.55,0.00,23731.02,27417.54
CPTY_A,2023-04-11,0.191781,27135.03,35946.18,72335.88,0.00,27380.04,27417.54
CPTY_A,2023-04-25,0.230137,20425.35,38716.85,60609.32,0.00,20648.22,27417.54
CPTY_A,2023-05-09,0.268493,23423.80,41453.38,69739.20,0.00,23723.93,27417.54
CPTY_A,2023-05-23,0.306849,17198.78,42121.06,58418.89,0.00,17452.18,27417.54
CPTY_A,2023-06-06,0.345205,19976.09,45415.93,64674.83,0.00,20308.98,27417.54
CPTY_A,2023-06-20,0.383562,14813.11,44607.39,52533.09,0.00,15088.84,27417.54
CPTY_A,2023-07-05,0.424658,16655.99,46345.92,56742.25,0.00,17000.87,27417.54
CPTY_A,2023-07-18,0.460274,18433.38,47957.13,61387.12,0.00,18848.21,27417.54
CPTY_A,2023-08-01,0.498630,14462.25,46087.83,52574.41,0.00,14815.77,27417.54
CPTY_A,2023-08-15,0.536986,15804.62,47367.80,56886.45,0.00,16221.64,27417.54
CPTY_A,2023-08-29,0.575342,12117.10,43476.09,47800.69,0.00,12460.38,27417.54
CPTY_A,2023-09-12,0.613699,13360.47,44829.12,51960.74,0.00,13765.05,27417.54
CPTY_A,2023-09-26,0.652055,10306.49,39665.93,42698.02,0.00,10638.79,27417.54
CPTY_A,2023-10-10,0.690411,11708.47,41135.95,47833.99,0.00,12108.69,27417.54
CPTY_A,2023-10-24,0.728767,8738.04,34744.42,37343.57,0.00,9053.53,27417.54
CPTY_A,2023-11-07,0.767123,9597.03,35589.50,41304.69,0.00,9961.91,27417.54
CPTY_A,2023-11-21,0.805479,6766.11,27723.91,31218.58,0.00,7036.19,27417.54
CPTY_A,2023-12-05,0.843836,7352.44,28406.46,33722.46,0.00,7659.88,27417.54
CPTY_A,2023-12-19,0.882192,7931.18,29061.26,36831.74,0.00,8277.57,27417.54
CPTY_A,2024-01-02,0.920540,5246.62,20452.80,25253.38,0.00,5485.54,27417.54
CPTY_A,2024-01-16,0.958792,5698.34,20855.09,26929.48,0.00,5968.41,27417.54
CPTY_A,2024-01-30,0.997043,2703.81,10869.69,13582.39,0.00,2836.98,27417.54
CPTY_A,2024-02-13,1.035295,2980.58,11123.23,14429.91,0.00,3132.01,27417.54
CPTY_A,2024-02-27,1.073546,0.00,0.00,0.00,0.00,0.00,27417.54
CPTY_A,2024-03-12,1.111797,0.00,0.00,0.00,0.00,0.00,27417.54
CPTY_A,2024-03-26,1.150049,0.00,0.00,0.00,0.00,0.00,27417.54
