#Key,Factor,BaseValue,ShiftSize
ZeroInflationCurve/EUHICPXT/8,ZeroInflationCurve/EUHICPXT/8/20Y,0.01427500,0.00010000
ZeroInflationCurve/FRHICP/0,ZeroInflationCurve/FRHICP/0/6M,0.00733733,0.00010000
ZeroInflationCurve/FRHICP/1,ZeroInflationCurve/FRHICP/1/1Y,0.00464787,0.00010000
ZeroInflationCurve/FRHICP/2,ZeroInflationCurve/FRHICP/2/2Y,0.00597500,0.00010000
ZeroInflationCurve/FRHICP/3,ZeroInflationCurve/FRHICP/3/3Y,0.00675000,0.00010000
ZeroInflationCurve/FRHICP/4,ZeroInflationCurve/FRHICP/4/5Y,0.00792427,0.00010000
ZeroInflationCurve/FRHICP/5,ZeroInflationCurve/FRHICP/5/7Y,0.00927500,0.00010000
ZeroInflationCurve/FRHICP/6,ZeroInflationCurve/FRHICP/6/10Y,0.01152500,0.00010000
ZeroInflationCurve/FRHICP/7,ZeroInflationCurve/FRHICP/7/15Y,0.01365000,0.00010000
ZeroInflationCurve/FRHICP/8,ZeroInflationCurve/FRHICP/8/20Y,0.01487500,0.00010000
ZeroInflationCurve/UKRPI/0,ZeroInflationCurve/UKRPI/0/6M,0.01912379,0.00010000
ZeroInflationCurve/UKRPI/1,ZeroInflationCurve/UKRPI/1/1Y,0.02824335,0.00010000
ZeroInflationCurve/UKRPI/2,ZeroInflationCurve/UKRPI/2/2Y,0.02942500,0.00010000
ZeroInflationCurve/UKRPI/3,ZeroInflationCurve/UKRPI/3/3Y,0.02975000,0.00010000
ZeroInflationCurve/UKRPI/4,ZeroInflationCurve/UKRPI/4/5Y,0.02999859,0.00010000
ZeroInflationCurve/UKRPI/5,ZeroInflationCurve/UKRPI/5/7Y,0.03008000,0.00010000
ZeroInflationCurve/UKRPI/6,ZeroInflationCurve/UKRPI/6/10Y,0.03044500,0.00010000
ZeroInflationCurve/UKRPI/7,ZeroInflationCurve/UKRPI/7/15Y,0.03090000,0.00010000
ZeroInflationCurve/UKRPI/8,ZeroInflationCurve/UKRPI/8/20Y,0.03109000,0.00010000
ZeroInflationCurve/USCPI/0,ZeroInflationCurve/USCPI/0/6M,0.01395099,0.00010000
ZeroInflationCurve/USCPI/1,ZeroInflationCurve/USCPI/1/1Y,0.01794173,0.00010000
ZeroInflationCurve/USCPI/2,ZeroInflationCurve/USCPI/2/2Y,0.01720000,0.00010000
ZeroInflationCurve/USCPI/3,ZeroInflationCurve/USCPI/3/3Y,0.01671000,0.00010000
ZeroInflationCurve/USCPI/4,ZeroInflationCurve/USCPI/4/5Y,0.01624850,0.00010000
ZeroInflationCurve/USCPI/5,ZeroInflationCurve/USCPI/5/7Y,0.01667000,0.00010000
ZeroInflationCurve/USCPI/6,ZeroInflationCurve/USCPI/6/10Y,0.01804000,0.00010000
ZeroInflationCurve/USCPI/7,ZeroInflationCurve/USCPI/7/15Y,0.01872000,0.00010000
ZeroInflationCurve/USCPI/8,ZeroInflationCurve/USCPI/8/20Y,0.01877000,0.00010000
YoYInflationCurve/EUHICPXT/0,YoYInflationCurve/EUHICPXT/0/6M,0.00000000,0.00000000
YoYInflationCurve/EUHICPXT/1,YoYInflationCurve/EUHICPXT/1/1Y,0.00000000,0.00000000
YoYInflationCurve/EUHICPXT/2,YoYInflationCurve/EUHICPXT/2/2Y,0.00000000,0.00000000
YoYInflationCurve/EUHICPXT/3,YoYInflationCurve/EUHICPXT/3/3Y,0.00000000,0.00000000
YoYInflationCurve/EUHICPXT/4,YoYInflationCurve/EUHICPXT/4/5Y,0.00000000,0.00000000
YoYInflationCurve/EUHICPXT/5,YoYInflationCurve/EUHICPXT/5/7Y,0.00000000,0.00000000
YoYInflationCurve/EUHICPXT/6,YoYInflationCurve/EUHICPXT/6/10Y,0.00000000,0.00000000
YoYInflationCurve/EUHICPXT/7,YoYInflationCurve/EUHICPXT/7/15Y,0.00000000,0.00000000
YoYInflationCurve/EUHICPXT/8,YoYInflationCurve/EUHICPXT/8/20Y,0.00000000,0.00000000
SecuritySpread/SECURITY_1/0,SecuritySpread/SECURITY_1/0/spread,0.00000000,0.00010000
